Time,Title,Types,Number of reads,Comments,Author
10-04 22:19,中航国际(00161-HK)被长和减持530万股,资讯,2553,1,中航国际控股资讯
10-03 19:13,长和再减持中航国际(00161)530万股 涉资3292万元,资讯,2928,3,中航国际控股资讯
10-03 17:54,截至2019年9月30日止月份之股份發行人的證券變動月報,公告,1512,0,长和资讯
09-30 21:30,长和(00001)减持中航国际(00161)156万股 每股作价5.69,资讯,2585,1,中航国际控股资讯
09-24 14:42,中航国际(00161-HK)被长和减持30万股,资讯,1516,0,中航国际控股资讯
09-24 13:34,中航国际飙逾11%创年半高 惟长和上周三减持,资讯,1340,0,财经评论
09-24 10:20,长和有资金追捧 现升逾1%破廿天线,资讯,873,0,财经评论
09-10 09:17,报道指长和夥大马电讯商 洽合并印尼业务,资讯,1523,0,长和资讯
09-06 12:21,李嘉诚基金会最近很忙！再增持长实(01113)95万股 增持,资讯,4712,2,财经评论
09-06 10:07,长和扬近3% 李嘉诚基金会斥逾1亿元增持长实及长和,资讯,1093,0,财经评论
09-03 19:08,传淡马锡搁置出售所持屈臣氏集团股份,资讯,1945,0,长和资讯
09-03 14:33,截至2019年8月31日止月份之股份發行人的證券變動月報,公告,1194,0,长和资讯
09-02 18:53,和黄医药在中国启动治疗免疫性血小板Ｉ期临床试验,资讯,1091,0,长和资讯
08-30 09:26,长和两手共100万股市前交易 涉资6873万元,资讯,1069,0,长和资讯
08-29 09:29,长和两手近247万股市前交易 涉资1.69亿元,资讯,1183,0,长和资讯
08-20 16:22,屈臣氏：去年Z世代在集团旗下品牌消费力增长23％,资讯,2180,0,长和资讯
08-15 17:00,致非登記持有人之通知信函及申請表格:2019年中期報告,公告,1158,0,长和资讯
08-15 16:59,致登記股東之通知信函及申請表格:2019年中期報告之發,公告,1031,0,长和资讯
08-15 16:57,致新登記股東之信函及回條:選擇公司通訊之語言版本及,公告,1015,0,长和资讯
08-15 16:55,2019年中期報告,公告,2276,0,长和资讯
08-12 09:40,长和一手逾58万股市前交易 涉近3948亿元,资讯,1339,1,长和资讯
08-11 09:26,长和维持买入评级，目标价126港元,研报,7337,0,长和资讯
08-08 14:09,马来西亚12名校长和140位华文学校教师集体,资讯,1357,0,财经评论
08-08 10:28,长和一手逾151万股市前交易 涉约1亿元,资讯,1264,0,财经评论
08-06 09:48,长和裂口低开近4% 暂十连跌创逾四年半新低,资讯,1629,0,财经评论
08-04 09:37,长和给予增持评级，目标价106港元,研报,7057,0,长和资讯
08-02 15:54,里昂：降长和(00001)目标价至82港元 维持“,资讯,2231,0,财经评论
08-02 15:54,瑞银：下调长和(00001)目标价至98港元 重申,资讯,1317,0,长和资讯
08-02 15:01,截至2019年7月31日止月份之股份發行人的證,公告,969,0,长和资讯
08-02 13:16,里昂：降长和(0001.HK)目标价至82港元 评级,资讯,1293,0,长和资讯
08-02 11:59,汇丰研究：下调长和目标价至92港元 评级“,资讯,1340,0,财经评论
08-02 11:45,高盛：长和若释放电讯资产价值料反应正面 ,资讯,1323,0,长和资讯
08-02 11:35,野村：维持长和(00001)“买入”评级 目标价,资讯,1189,0,财经评论
08-02 11:06,花旗：长和业绩仍面临英镑贬值压力 降盈测,资讯,1121,0,长和资讯
08-02 10:45,花旗：降长和(00001)目标价至108港元 维持,资讯,1268,0,财经评论
08-02 09:44,花旗：长和业绩仍面临英镑贬值压力 降盈测,资讯,1044,0,财经评论
08-02 09:41,大摩下调长和(00001-HK)目标价 股价跌1%,资讯,591,0,财经评论
08-01 17:11,李泽钜：宽松货币政策或舒缓经济冲击 惟风,资讯,1690,0,长和资讯
08-01 17:05,长和中期港口服务EBIT升10% 基建跌25%,资讯,1265,0,长和资讯
08-01 17:01,长和2019上半年普通股股东应占溢利183.24亿,资讯,1213,0,长和资讯
08-01 16:57,长和(00001.HK)：按IFRS16后 中期EBITDA同,资讯,1200,0,长和资讯
08-01 16:45,长和中期多赚2％至183亿符预期 派息0.87元,资讯,1100,1,长和资讯
08-01 16:37,截至2019年6月30日止六個月之未經審核業績,公告,1550,0,长和资讯
08-01 13:35,长和、长实和长江基建股价纷纷下跌,资讯,2481,0,财经评论
08-01 10:12,长和就出售海外合资经济权益与长建、电能订补充协议,资讯,1099,0,长和资讯
07-31 17:52,聯合公告 - 長江基建協議及電能實業協議之補充協議,公告,1050,0,长和资讯
07-31 13:06,瑞银：予长和(00001)“买入”评级 目标价107港元,资讯,1165,0,财经评论
07-31 12:38,瑞银：予长和(0001.HK)“买入”评级 目标价107港元,资讯,1079,0,财经评论
07-29 16:21,大摩：予长和(00001)“增持”评级 目标价106港元,资讯,1115,0,长和资讯
07-29 15:22,大摩料长和中期盈利按年仅升2% 受累汇率仍吁增持,资讯,1243,0,财经评论
07-29 13:33,大摩：料长和(0001.HK)中期纯利仅增2% 估值和派息为股,资讯,1525,0,财经评论
07-29 12:28,美银美林：重申长和(00001)“买入”评级 降目标价至96,资讯,1434,0,财经评论
07-29 12:17,美银美林：长和(0001.HK)估值吸引但需等待催化剂 降目,资讯,1516,0,财经评论
07-25 09:24,长和两手逾70万股市前交易 涉资5365万元,资讯,1274,0,长和资讯
07-23 10:54,高盛：料长和中期纯利按年升2% 维持“买入”评级,资讯,1502,0,财经评论
07-23 09:23,长和两手共70万股市前交易 涉逾5331万元,资讯,1250,0,财经评论
07-19 17:27,高盛：维持长和(00001)“买入”评级 目标价104港元,资讯,1643,0,长和资讯
07-19 17:18,高盛：料长和(0001.HK)中期核心净利润升2％ 维持“买,资讯,1832,0,财经评论
07-19 12:17,里昂：下调长和目标价至87港元 重申“跑赢大市”评级,资讯,1437,0,财经评论
07-19 11:21,里昂：下调长和目标价至87港元 重申“跑赢大市”评级,资讯,1291,0,财经评论
07-18 17:02,长和(00001.HK)8月1日举行董事会会议 以批准中期业绩,资讯,1233,0,长和资讯
07-18 16:55,董事會會議召開日期,公告,1150,0,长和资讯
07-10 12:38,和黄中国医药股份“一拆十” 为回港上市铺路,资讯,3393,0,财经评论
07-08 14:59,长和随市挫近2% 失守多条主要平均线,资讯,1347,0,长和资讯
07-03 15:24,截至2019年6月30日止月份之股份發行人的證券變動月報,公告,1233,0,长和资讯
